Temperature (K),B2V Hard-Sphere (m^3/mol),B2V Square-Well (m^3/mol),B2V Lennard-Jones (m^3/mol)
100.0,4.938475327929691e+25,-2.0844930786796273e+26,-1.6098208483922938e+26
200.0,4.938475327929691e+25,-4.314682066682315e+25,-4.3500030359976325e+25
300.0,4.938475327929691e+25,-6.183861022367809e+24,-1.290768995391525e+25
400.0,4.938475327929691e+25,9.783454345165017e+24,7.981159833818081e+23
500.0,4.938475327929691e+25,1.8648403898547993e+25,8.412525808505682e+24
600.0,4.938475327929691e+25,2.427896979872798e+25,1.317024126244003e+25
700.0,4.938475327929691e+25,2.8169522943388072e+25,1.637160788424513e+25
800.0,4.938475327929691e+25,3.1017700184789426e+25,1.8637868570094452e+25
